Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"20/08/2023 10:05:53",36.347,37.996,22.17,0.64,"MW",4.2,"Göksun (Kahramanmaraş)",599792
"17/08/2023 18:25:06",37.716,37.798,5.43,0.39,"MW",4.1,"Gölbaşı (Adıyaman)",599398
"16/08/2023 17:36:58",35.38,37.658,7.3,0.55,"ML",4.5,"Aladağ (Adana)",599289
"13/08/2023 10:49:38",24.172,35.554,4.9,0.98,"MW",4.8,"Ege Denizi, Girit Adası (Kriti) - [320.78 km] Bodrum (Muğla)",598837
"12/08/2023 18:18:19",38.206,38.286,9.13,0.32,"MW",4.2,"Yeşilyurt (Malatya)",598730
"12/08/2023 16:40:01",38.225,38.317,7,0.43,"MW",4.5,"Yeşilyurt (Malatya)",598704
"12/08/2023 16:39:16",38.228,38.312,6.35,0.27,"MW",4.8,"Yeşilyurt (Malatya)",598703
"11/08/2023 04:55:27",40.892,39.38,7.43,0.34,"MW",4.3,"Karlıova (Bingöl)",598469
"10/08/2023 20:48:00",38.209,38.308,7.89,0.39,"MW",5.3,"Yeşilyurt (Malatya)",598386
"10/08/2023 16:16:03",31.351,35.804,12.44,1.33,"MW",4.5,"Akdeniz - [99.07 km] Gazipaşa (Antalya)",598370
"10/08/2023 15:25:52",40.376,38.539,16.81,0.5,"ML",4.2,"Hani (Diyarbakır)",598363
"09/08/2023 20:01:46",38.443,38.193,12.1,0.31,"MW",4.4,"Yeşilyurt (Malatya)",598284
"03/08/2023 07:56:15",38.674,38.167,7.04,0.35,"MW",4.3,"Pütürge (Malatya)",597524
"03/08/2023 05:18:48",26.428,34.848,6.94,0.58,"MW",4.3,"Akdeniz - [224.61 km] Datça (Muğla)",597513
"02/08/2023 00:52:46",26.343,35.074,6.07,0.65,"MW",4.3,"Akdeniz",597363
"01/08/2023 21:37:03",42.18,40.329,9.56,0.41,"MW",4.1,"Narman (Erzurum)",597344
"01/08/2023 18:06:51",32.598,38.078,7.83,0.39,"MW",5,"Selçuklu (Konya)",597322
"26/07/2023 10:03:12",49.306,38.992,7.14,0.71,"MW",4.5,"Hazar Gölü",596583
"25/07/2023 10:57:54",35.888,37.59,9.06,0.42,"MW",4.4,"Kozan (Adana)",596351
"25/07/2023 08:44:49",35.884,37.634,10.38,0.33,"MW",5.5,"Kozan (Adana)",596330
"23/07/2023 13:48:37",37.277,38.19,8.76,0.28,"MW",4,"Elbistan (Kahramanmaraş)",596172
"22/07/2023 17:43:09",37.63,38.043,7.05,0.42,"MW",4.2,"Doğanşehir (Malatya)",596046
"21/07/2023 14:23:24",37.256,38.176,5.55,0.48,"MW",4,"Elbistan (Kahramanmaraş)",595923
"21/07/2023 02:49:14",27.108,37.726,13.11,0.39,"MW",4,"Ege Denizi - Kuşadası Körfezi - [10.31 km] Kuşadası (Aydın)",595814
"18/07/2023 03:27:21",41.826,39.811,7.02,0.53,"MW",4,"Köprüköy (Erzurum)",595456
"12/07/2023 20:37:39",28.104,39.976,6.87,0.18,"ML",4.1,"Susurluk (Balıkesir)",594760
"11/07/2023 12:52:18",26.278,39.373,7,0.41,"MW",4,"Ege Denizi, Midilli Adası (Lesvos) - [14.06 km] Ayvacık (Çanakkale)",594592
"08/07/2023 17:02:34",21.771,38.217,7,0.58,"MW",4.2,"Achaea, Dytiki Ellada (Yunanistan)",594232
"30/06/2023 10:49:47",25.708,36.658,7,0.78,"MW",4,"Ege Denizi",593213
"29/06/2023 16:34:42",37.406,38.007,5.53,0.34,"MW",4,"Nurhak (Kahramanmaraş)",593022
"29/06/2023 08:28:07",36.357,37.998,6.98,0.38,"MW",4.3,"Göksun (Kahramanmaraş)",592976
"27/06/2023 15:40:06",39.213,38.423,7.75,0.25,"MW",4.1,"Sivrice (Elazığ)",592799
"26/06/2023 09:41:29",43.386,37.192,12.12,0.28,"MW",4.7,"Amedi, Duhok (Irak) - [14.08 km] Çukurca (Hakkari)",592594
"22/06/2023 08:21:02",38.452,38.104,7.01,0.29,"MW",4.1,"Çelikhan (Adıyaman)",591887
"22/06/2023 05:42:31",33.491,43.632,17.68,0.92,"MW",4.4,"Karadeniz",591875
"19/06/2023 21:31:30",36.571,38.003,7,0.52,"MW",4.7,"Göksun (Kahramanmaraş)",591465
"19/06/2023 15:58:56",34.667,34.242,6.5,0.87,"MW",4.2,"Akdeniz",591439
"19/06/2023 14:43:24",40.736,39.908,12.52,0.62,"MW",4.3,"Aşkale (Erzurum)",591429
"19/06/2023 13:15:37",44.622,38.837,7,0.88,"MW",4.1,"Khoy, West Azarbaijan (İran) - [32.21 km] Özalp (Van)",591408
"19/06/2023 04:21:35",36.325,37.945,7,0.57,"MW",4,"Göksun (Kahramanmaraş)",591335
"19/06/2023 03:30:18",38.075,38.184,3.3,0.21,"MW",4.4,"Yeşilyurt (Malatya)",591331
"18/06/2023 23:59:21",36.21,37.855,10.15,0.43,"MW",4,"Saimbeyli (Adana)",591305
"18/06/2023 18:36:28",38.619,38.202,7.06,0.36,"MW",4.6,"Pütürge (Malatya)",591273
"18/06/2023 01:02:55",37.424,37.658,11.74,0.32,"MW",4.1,"Pazarcık (Kahramanmaraş)",591140
"17/06/2023 15:30:42",45.056,38.473,7,0.53,"MW",4.8,"Khoy, West Azarbaijan (İran) - [56.42 km] Başkale (Van)",591052
"16/06/2023 18:28:34",23.928,34.955,5.93,0.76,"MW",4.2,"Akdeniz",590853
"16/06/2023 12:54:53",43.154,38.67,7.01,0.8,"MW",4.1,"Van Gölü - [03.15 km] Tuşba (Van)",590809
"16/06/2023 01:02:59",24.019,35.112,5.82,0.47,"MW",4.3,"Akdeniz",590684
"11/06/2023 17:57:02",36.257,37.889,7,0.43,"MW",4.2,"Saimbeyli (Adana)",589864
"11/06/2023 10:41:03",40.969,40.134,7,0.6,"MW",4.6,"Aziziye (Erzurum)",589802
"11/06/2023 07:47:13",36.236,37.888,4.85,0.6,"MW",4,"Saimbeyli (Adana)",589765
"11/06/2023 07:42:00",27.122,37.754,7.52,0.38,"MW",4.2,"Ege Denizi - Kuşadası Körfezi - [09.98 km] Kuşadası (Aydın)",589764
"09/06/2023 04:49:01",39.647,39.859,16.52,0.3,"MW",4,"Çayırlı (Erzincan)",589399
"08/06/2023 15:33:35",21.578,38.525,6.62,0.95,"MW",4.9,"Aitolia and Akarnania, Dytiki Ellada (Yunanistan)",589307
"08/06/2023 06:38:41",36.271,37.79,6.99,0.34,"MW",4.2,"Andırın (Kahramanmaraş)",589222
"07/06/2023 15:26:30",24.481,42.354,10.42,0.32,"MW",4.7,"Saedinenie, Filibe (Bulgaristan) - [167.39 km] Merkez (Edirne)",589079
"05/06/2023 19:40:47",36.554,37.981,11.41,0.48,"MW",4.4,"Göksun (Kahramanmaraş)",588753
"04/06/2023 01:25:20",39.391,38.254,7,0.45,"MW",4.2,"Çüngüş (Diyarbakır)",588410
"03/06/2023 18:07:26",37.29,39.453,7,0.45,"MW",4.1,"Ulaş (Sivas)",588353
"25/05/2023 22:59:06",36.289,37.919,7.17,0.41,"MW",4,"Göksun (Kahramanmaraş)",586627
"25/05/2023 18:02:05",38.589,38.122,6.96,0.22,"MW",4.1,"Pütürge (Malatya)",586608
"23/05/2023 04:12:46",36.297,37.918,7,0.42,"MW",4.2,"Göksun (Kahramanmaraş)",585991
